S0,K,r,T,corp,alpha,beta,omega,gamma,lambda,V
1.0,1.5000000000000044,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.6249999999999999,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.7500000000000004,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,0.8750000000000011,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.02983294942257247
1.0,1.0,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0077569131406340485
1.0,1.1249999999999991,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0014587498484339703
1.0,1.249999999999998,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,63.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,63.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.6249999999999999,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.7500000000000004,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
