v_pred,v_target,impl_pred,impl_target
10.415059,10.3283205,0.3200779,0.375
6.3729157,6.795216,0.0010406622,0.0
14.90885,14.174525,0.47076774,0.375
10.256163,10.698745,0.11682704,0.119100004
6.684495,5.7282577,0.0008491628,0.0
16.428225,16.640816,0.2978794,0.375
0.8764434,0.99536246,0.00046925168,0.0
16.902689,16.94479,0.17988534,0.1875
16.334286,16.640816,0.0014460708,0.0
10.679734,11.093878,0.0010794604,0.0
16.47222,16.685642,0.737712,0.75
16.71832,16.640816,0.19864082,0.1875
27.863878,28.390236,0.027184684,0.0
8.083875,7.3462462,0.0010440595,0.0
17.2364,16.348911,0.18745369,0.1875
16.212,15.637985,0.30997157,0.375
20.675842,20.644537,0.006068852,0.0
10.758869,11.296526,0.115979776,0.0938
5.2018566,5.648263,0.11670418,0.0938
9.848516,9.449683,0.26178178,0.1875
10.655532,11.296526,0.30967993,0.375
20.161537,21.560875,0.005447379,0.0
10.894864,11.115265,0.0006141111,0.0
20.516148,22.230528,0.0033810663,0.0
15.317013,14.174525,0.32186285,0.375
12.418588,11.523052,0.0015972429,0.0
26.991219,25.294079,0.017561354,0.0453
16.076466,16.672897,0.0029296577,0.0
5.3667088,6.3393955,0.0008259821,0.0
21.083456,21.770815,0.0029184776,0.0
15.574037,15.637985,0.42124045,0.375
17.05264,16.94479,0.16815531,0.1875
10.5540695,10.3283205,0.0005135643,0.0
16.777308,16.348911,0.16778667,0.1875
15.936309,16.94479,0.38141388,0.375
5.149724,5.251147,0.00053153373,0.0
1.2964708,2.0421891,0.0003377376,0.0
31.27164,31.618505,0.21909875,0.2433
1.2084473,0.71087337,0.00038943643,0.0
13.604538,13.865451,0.0023086779,0.0
36.63856,36.688026,0.28108883,0.2759
23.16493,21.23858,0.01438532,0.0361
8.719488,7.787871,0.0011092953,0.0
10.346728,11.296526,0.11178763,0.0938
5.3825936,5.5618815,0.10329378,0.0938
8.658705,9.449683,0.108132064,0.0938
9.466221,10.467054,0.39795375,0.375
1.0294889,0.5370181,0.00035984867,0.0
1.7952654,1.1263348,0.0035882236,0.0
1.5170901,0.6498882,0.00021270479,0.0
10.358671,11.115265,0.00093202066,0.0
11.651392,10.535432,0.0014786685,0.0
10.809598,11.093878,0.17162687,0.1875
10.607386,11.093878,0.31293106,0.375
21.030773,22.247522,0.21451727,0.1875
0.89223814,1.0383191,0.00045486624,0.0
15.880595,15.700582,0.7614657,0.75
4.943491,5.2126617,0.18775749,0.1875
5.4201837,5.1641603,0.00021096793,0.0
9.664352,10.4253235,0.10916534,0.0938
11.15636,11.296526,0.00076171046,0.0
10.806387,11.296526,0.0011672466,0.0
4.1187754,4.711818,0.00020557287,0.0
16.079344,16.640816,0.7351287,0.75
5.7175717,5.1641603,0.09737922,0.0938
1.5830137,0.74630815,0.00022140509,0.0
4.978584,5.6647353,0.029585157,0.052699998
26.732292,27.696173,0.49063206,0.4982
9.534017,9.449683,0.0009157683,0.0
10.758224,10.632606,0.0010490938,0.0
5.4739513,5.2126617,0.07882357,0.0938
9.241983,10.3283205,0.3990958,0.375
5.6909714,6.6202054,0.00093354896,0.0
1.0171345,0.50837415,0.00036443514,0.0
2.3557506,1.1011957,0.1199017,0.117199995
22.13775,22.247522,0.003259977,0.0
14.393146,14.174525,0.7384173,0.75
18.900938,18.63696,0.0024819216,0.0
5.092403,5.449637,0.11516677,0.0938
22.036322,22.850924,0.010413794,0.0
37.163063,35.527073,0.41700652,0.3991
5.5254025,5.648263,0.103532,0.0938
9.329154,9.423636,0.00081461424,0.0
19.62891,18.847273,0.0023586797,0.0
10.842507,10.899273,0.0013404253,0.0
21.658554,22.247522,0.20144583,0.1875
4.697212,4.7248416,0.16121349,0.1875
20.435083,22.59305,0.0026986583,0.0
21.276237,22.59305,0.7620367,0.75
11.7894945,11.299014,0.0021578046,0.0
12.490701,12.020812,0.0018353614,0.0
20.85134,20.65664,0.19017461,0.1875
30.971333,32.626144,0.02442845,0.0
1.4552377,0.6327273,0.00021811912,0.0
21.323393,22.59305,0.28442776,0.375
10.957869,11.123761,0.114950515,0.0938
9.5597315,9.760796,0.009489983,0.0
9.91853,10.4253235,0.110296704,0.0938
6.3251047,6.9342685,0.0013036575,0.0
35.636745,36.254093,0.16334352,0.1875
5.120824,5.5618815,0.0005272334,0.0
10.363524,10.467054,0.15954812,0.1875
10.668383,11.115265,0.21543646,0.1875
10.232941,10.3283205,0.001558899,0.0
1.0176237,0.5037301,0.0003529591,0.0
5.172369,5.2126617,0.10178583,0.0938
22.25119,22.127832,0.010510311,0.0
6.7821345,5.2126617,0.3226098,0.375
1.7058778,2.0132644,0.00029795375,0.0
16.763145,17.137934,0.0024502727,0.0
16.305464,16.973358,0.0023918618,0.0
15.876817,15.700582,0.30132976,0.375
4.779779,4.7248416,0.18920504,0.1875
16.477251,16.672897,0.20472917,0.1875
5.4193053,6.620777,0.00087783695,0.0
5.2652373,5.2126617,0.07781814,0.0938
11.14255,11.296526,0.15281516,0.1875
16.178207,15.700582,0.21153337,0.1875
4.891772,4.7248416,0.0791729,0.0938
16.202715,16.685642,0.2879688,0.375
9.622897,10.084279,0.011003635,0.0
4.5263047,4.711818,0.11864202,0.0938
4.064887,4.38993,0.00033566167,0.0
5.952052,5.648263,0.08197847,0.0938
2.1559045,1.4933956,0.00028598314,0.0
10.29331,10.4253235,0.0012858142,0.0
3.3187754,3.0771358,0.0003712152,0.0
29.020973,29.833662,0.054799333,0.044800002
20.378521,20.934107,0.0032158673,0.0
16.813894,16.640816,0.18009628,0.1875
35.068718,33.14593,0.15065762,0.1875
19.603233,19.401201,0.002719155,0.0
9.798696,10.467054,0.10942109,0.0938
21.05553,20.934107,0.7505232,0.75
16.25086,15.700582,0.1924194,0.1875
5.9032674,5.449637,0.088524655,0.0938
15.788524,15.49248,0.00217705,0.0
5.9347672,5.449637,0.0006952913,0.0
9.908888,9.449683,0.0013123481,0.0
16.183413,16.685642,0.0018168204,0.0
25.047926,26.892418,0.009355492,0.0
24.642319,25.050163,0.046414405,0.036399998
18.09554,18.487549,0.0101262685,0.0
5.820561,5.546939,0.08088198,0.0938
1.7049403,1.2544098,0.02295753,0.0426
5.08957,5.5576324,0.0005140578,0.0
5.001627,5.5618815,0.15033099,0.1875
10.189451,10.4253235,0.0011260737,0.0
5.0511885,5.233527,0.108515725,0.0938
10.342715,10.592968,0.002072606,0.0
21.577711,22.407598,0.41988933,0.4304
5.8478355,5.233527,0.095964715,0.0938
3.1302164,4.0086513,0.000571219,0.0
20.576109,22.247522,0.0028221474,0.0
4.9293885,5.333578,0.0042962576,0.0
15.181174,15.483167,0.0401089,0.0217
11.294746,11.093878,0.13044795,0.0938
14.415299,14.135456,0.0014523229,0.0
15.496873,16.672897,0.0022074762,0.0
19.031351,18.945915,0.0022431475,0.0
16.560726,16.348911,0.0020732195,0.0
9.342583,9.208495,0.0065318844,0.0
15.884077,15.908224,0.0019886775,0.0
21.386187,22.58065,0.00831094,0.0
5.5292916,5.449637,0.08310823,0.0938
1.4853126,0.8097488,0.00048553344,0.0
4.804377,5.5576324,0.00032045878,0.0
1.8247507,1.161203,0.00025630364,0.0
1.7061174,1.0977923,0.00023608,0.0
19.516388,19.2864,0.023115175,0.0
20.057644,18.847273,0.001872316,0.0
1.549852,0.7112698,0.00021734758,0.0
9.851632,10.154202,0.0019165456,0.0
16.644897,16.685642,0.18225835,0.1875
