S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
100,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.88125,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0399169921875
100,0.88125,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.9125,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0347900390625
100,0.9125,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.94375,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.030059814453125
100,0.94375,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.975,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.025421142578125
100,0.975,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.00625,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.020751953125
100,1.00625,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.01171875
100,1.0375,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.01611328125
100,1.0375,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.06875,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.01239013671875
100,1.06875,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.00823974609375
100,1.1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.85,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.88125,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.88125,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9125,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9125,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.94375,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.94375,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.975,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.975,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
