Date,Open,High,Low,Close,Adj Close,Volume,,log return
2013-07-31,162.529999,165.970001,162.429993,164.029999,147.37471,3700300,,0.00425715
2013-08-01,165.740005,167.899994,164.880005,167.490005,150.483353,3251900,,0.009065496
2013-08-02,166.830002,167.899994,166.460007,167.619995,150.600159,1866700,,0.000336971
2013-08-05,167.279999,169.690002,166.440002,168.320007,151.229111,2618400,,0.001809969
2013-08-06,168.070007,168.279999,164.470001,164.779999,148.048553,3598500,,-0.009231232
2013-08-07,164,164.229996,162.050003,163.449997,146.853592,2131000,,-0.003519593
2013-08-08,164.75,166.429993,162.830002,162.839996,146.305511,2818400,,-0.001623888
2013-08-09,162.399994,164.100006,162.020004,162.130005,145.667618,2012000,,-0.001897667
2013-08-12,161.729996,162.380005,160.550003,161.690002,145.272293,1982000,,-0.001180227
2013-08-13,161.990005,164.550003,160.949997,163.710007,147.087173,2309600,,0.005392009
2013-08-14,163.850006,164.800003,162.929993,163.339996,146.754715,1667400,,-0.000982738
2013-08-15,161.910004,161.970001,160.070007,160.75,144.427765,2206900,,-0.006941373
2013-08-16,160.279999,162.289993,160.029999,160.660004,144.346817,2024300,,-0.000243479
2013-08-19,160.169998,160.789993,158.529999,158.630005,142.523026,2228400,,-0.005522177
2013-08-20,158.720001,160.029999,157.779999,159.559998,143.358536,2288700,,0.002538523
2013-08-21,158.779999,159.229996,156.509995,157.110001,141.157349,3053800,,-0.006720064
2013-08-22,157.809998,159.660004,157.199997,159.410004,143.223801,2302700,,0.006311702
2013-08-23,159.589996,159.789993,158,158.649994,142.540985,1495800,,-0.00207544
2013-08-26,158.410004,160.699997,157.75,157.899994,141.867111,1885200,,-0.002058031
2013-08-27,155.720001,156.529999,152.929993,153.229996,137.671326,3672000,,-0.013038229
2013-08-28,153,154.149994,151.449997,152.970001,137.88768,2343200,,0.000681969
2013-08-29,152.369995,154.679993,152.089996,153.630005,138.482544,2133000,,0.001869569
2013-08-30,153.770004,153.979996,151.330002,152.130005,137.130417,2234000,,-0.004261237
2013-09-03,154.479996,156.039993,153.520004,154.759995,139.501144,2464800,,0.007443972
2013-09-04,154.759995,157.25,154.350006,155.740005,140.384491,2194200,,0.002741363
2013-09-05,155.990005,158.050003,155.570007,156.169998,140.77211,2443900,,0.001197489
2013-09-06,156.979996,157.710007,153.419998,156.660004,141.213806,2464000,,0.001360538
2013-09-09,157.410004,159.699997,157.160004,159.490005,143.764771,2150400,,0.007775319
2013-09-10,162.979996,165.529999,162.559998,165.139999,148.857727,5265900,,0.015118906
2013-09-11,164.929993,165.789993,163.779999,165.059998,148.785614,2233100,,-0.000210442
2013-09-12,164.839996,165.309998,163.070007,163.350006,147.244186,2690000,,-0.004522786
2013-09-13,164.380005,164.720001,162.960007,164,147.830093,2231500,,0.001724695
2013-09-16,166.309998,168.570007,165.190002,167.029999,150.561356,3553100,,0.007950667
2013-09-17,167.190002,167.580002,165.660004,167.419998,150.912933,2653700,,0.001012942
2013-09-18,166.5,169.089996,165.639999,168.059998,151.489792,3422400,,0.00165691
2013-09-19,169.690002,170,166.880005,167.779999,151.237427,3534700,,-0.000724089
2013-09-20,168,169.75,164.029999,169.75,153.013168,20410100,,0.005069527
2013-09-23,168.179993,168.460007,164.720001,165.25,148.956848,4816200,,-0.011668333
2013-09-24,165.520004,166.399994,162.970001,162.970001,146.901657,3422600,,-0.006033779
2013-09-25,163.259995,163.690002,161.160004,162.309998,146.306717,3614600,,-0.001762429
2013-09-26,162.899994,163.929993,161.039993,162.289993,146.288712,2711400,,-5.3449E-05
2013-09-27,160.690002,160.949997,159.429993,159.850006,144.089325,3679100,,-0.006579009
2013-09-30,157.720001,159.139999,156.570007,158.210007,142.611008,2803600,,-0.004478757
2013-10-01,158.860001,160.309998,157.559998,159,143.323074,2465300,,0.002163065
